sha256,group_id,relative_path,original_row_id,SM_0,SM_20,light_value,moisture_class,group_size,reason
00905821ecc223e991a8ae79e30a1d0e96b33018482c53840d07dd7f2a6ed88b,sha256:00905821ecc223e9,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143128222_276e4e8586100105a226ae375886a943.jpg,z5720143128222_276e4e8586100105a226ae375886a943.jpg,40,40,90,3,2,EXACT_DUPLICATE_CONFLICT
00905821ecc223e991a8ae79e30a1d0e96b33018482c53840d07dd7f2a6ed88b,sha256:00905821ecc223e9,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143128222_276e4e8586100105a226ae375886a943.jpg,z5720143128222_276e4e8586100105a226ae375886a943.jpg,53,51,94,5,2,EXACT_DUPLICATE_CONFLICT
1036124b03e417fccc2b2771da3daa5a7aa4639e9c0f2094e2f620f40d734ce6,sha256:1036124b03e417fc,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,32,31,82,3,3,EXACT_DUPLICATE_CONFLICT
1036124b03e417fccc2b2771da3daa5a7aa4639e9c0f2094e2f620f40d734ce6,sha256:1036124b03e417fc,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,51,49,86,5,3,EXACT_DUPLICATE_CONFLICT
1036124b03e417fccc2b2771da3daa5a7aa4639e9c0f2094e2f620f40d734ce6,sha256:1036124b03e417fc,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,62,64,85,6,3,EXACT_DUPLICATE_CONFLICT
152c3629f5e51fcdd37dc597a1642fce5df05fa051ff1e636ab64591586992fa,sha256:152c3629f5e51fcd,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,30,30,89,3,3,EXACT_DUPLICATE_CONFLICT
152c3629f5e51fcdd37dc597a1642fce5df05fa051ff1e636ab64591586992fa,sha256:152c3629f5e51fcd,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,50,51,87,5,3,EXACT_DUPLICATE_CONFLICT
152c3629f5e51fcdd37dc597a1642fce5df05fa051ff1e636ab64591586992fa,sha256:152c3629f5e51fcd,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,62,62,85,6,3,EXACT_DUPLICATE_CONFLICT
18bc134226d0f0292404508331885ed7ec92dac7ad23953057102c75b475fc2a,sha256:18bc134226d0f029,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,37,38,81,3,3,EXACT_DUPLICATE_CONFLICT
18bc134226d0f0292404508331885ed7ec92dac7ad23953057102c75b475fc2a,sha256:18bc134226d0f029,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,52,50,87,5,3,EXACT_DUPLICATE_CONFLICT
18bc134226d0f0292404508331885ed7ec92dac7ad23953057102c75b475fc2a,sha256:18bc134226d0f029,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,68,66,84,6,3,EXACT_DUPLICATE_CONFLICT
18bc70fb3bbd74cd8bf3ab88ec4e48b1aa2fdd6673a130490622719209b228e0,sha256:18bc70fb3bbd74cd,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,35,34,85,3,4,EXACT_DUPLICATE_CONFLICT
18bc70fb3bbd74cd8bf3ab88ec4e48b1aa2fdd6673a130490622719209b228e0,sha256:18bc70fb3bbd74cd,Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,43,45,82,4,4,EXACT_DUPLICATE_CONFLICT
18bc70fb3bbd74cd8bf3ab88ec4e48b1aa2fdd6673a130490622719209b228e0,sha256:18bc70fb3bbd74cd,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,54,55,88,5,4,EXACT_DUPLICATE_CONFLICT
18bc70fb3bbd74cd8bf3ab88ec4e48b1aa2fdd6673a130490622719209b228e0,sha256:18bc70fb3bbd74cd,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,61,59,87,6,4,EXACT_DUPLICATE_CONFLICT
1ce12e72af799f3ef641eac772e49eaa601410979f064594ee0697444163f229,sha256:1ce12e72af799f3e,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,32,31,98,3,3,EXACT_DUPLICATE_CONFLICT
1ce12e72af799f3ef641eac772e49eaa601410979f064594ee0697444163f229,sha256:1ce12e72af799f3e,Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,42,40,93,4,3,EXACT_DUPLICATE_CONFLICT
1ce12e72af799f3ef641eac772e49eaa601410979f064594ee0697444163f229,sha256:1ce12e72af799f3e,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,55,54,93,5,3,EXACT_DUPLICATE_CONFLICT
1d9f70a629ed7f33b5bb9dcbf9d2edf129960e30bc7d5a1fad18323eb20bc184,sha256:1d9f70a629ed7f33,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142605939_7caf2dad0259dceaa9b82d0f49f18ce1.jpg,z5720142605939_7caf2dad0259dceaa9b82d0f49f18ce1.jpg,33,35,93,3,2,EXACT_DUPLICATE_CONFLICT
1d9f70a629ed7f33b5bb9dcbf9d2edf129960e30bc7d5a1fad18323eb20bc184,sha256:1d9f70a629ed7f33,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142605939_7caf2dad0259dceaa9b82d0f49f18ce1.jpg,z5720142605939_7caf2dad0259dceaa9b82d0f49f18ce1.jpg,51,50,95,5,2,EXACT_DUPLICATE_CONFLICT
