checkpoint_id,scope,relative_path,filename,size_bytes,sha256,safe_load_status,top_level_type,top_level_keys,state_dict_prefix,tensor_count,parameter_tensor_count,primary_category,suspected_mu,suspected_epoch,suspected_model,has_reg_head,has_cls_head,has_light_branch,num_classes,regression_output_dimension,reg_head_shape,cls_head_shape,model_compatible,has_optimizer,has_epoch,has_config,additional_flags,notes
sha256:94f99a3efdeb2094bb30,CHECKPOINT_ROOT,checkpoints_massive/best_model.pth,best_model.pth,32712893,94f99a3efdeb2094bb305b0362338eb053c17c8cb4b81f9529e95c45822894ed,SAFE_LOAD_OK,OrderedDict,stem.0.weight;stem.1.weight;stem.1.bias;stem.1.running_mean;stem.1.running_var;stem.1.num_batches_tracked;body.0.conv.0.weight;body.0.conv.1.weight;body.0.conv.1.bias;body.0.conv.1.running_mean;body.0.conv.1.running_var;body.0.conv.1.num_batches_tracked;body.0.conv.3.weight;body.0.conv.4.weight;body.0.conv.4.bias;body.0.conv.4.running_mean;body.0.conv.4.running_var;body.0.conv.4.num_batches_tracked;body.0.conv.6.weight;body.0.conv.7.weight;body.0.conv.7.bias;body.0.conv.7.running_mean;body.0.conv.7.running_var;body.0.conv.7.num_batches_tracked;body.0.se.1.weight;body.0.se.1.bias;body.0.se.3.weight;body.0.se.3.bias;body.1.conv.0.weight;body.1.conv.1.weight;body.1.conv.1.bias;body.1.conv.1.running_mean;body.1.conv.1.running_var;body.1.conv.1.num_batches_tracked;body.1.conv.3.weight;body.1.conv.4.weight;body.1.conv.4.bias;body.1.conv.4.running_mean;body.1.conv.4.running_var;body.1.conv.4.num_batches_tracked;body.1.conv.6.weight;body.1.conv.7.weight;body.1.conv.7.bias;body.1.conv.7.running_mean;body.1.conv.7.running_var;body.1.conv.7.num_batches_tracked;body.1.se.1.weight;body.1.se.1.bias;body.1.se.3.weight;body.1.se.3.bias;body.2.conv.0.weight;body.2.conv.1.weight;body.2.conv.1.bias;body.2.conv.1.running_mean;body.2.conv.1.running_var;body.2.conv.1.num_batches_tracked;body.2.conv.3.weight;body.2.conv.4.weight;body.2.conv.4.bias;body.2.conv.4.running_mean;body.2.conv.4.running_var;body.2.conv.4.num_batches_tracked;body.2.conv.6.weight;body.2.conv.7.weight;body.2.conv.7.bias;body.2.conv.7.running_mean;body.2.conv.7.running_var;body.2.conv.7.num_batches_tracked;body.2.se.1.weight;body.2.se.1.bias;body.2.se.3.weight;body.2.se.3.bias;body.3.conv.0.weight;body.3.conv.1.weight;body.3.conv.1.bias;body.3.conv.1.running_mean;body.3.conv.1.running_var;body.3.conv.1.num_batches_tracked;body.3.conv.3.weight;body.3.conv.4.weight;body.3.conv.4.bias;body.3.conv.4.running_mean;body.3.conv.4.running_var;body.3.conv.4.num_batches_tracked;body.3.conv.6.weight;body.3.conv.7.weight;body.3.conv.7.bias;body.3.conv.7.running_mean;body.3.conv.7.running_var;body.3.conv.7.num_batches_tracked;body.3.se.1.weight;body.3.se.1.bias;body.3.se.3.weight;body.3.se.3.bias;body.4.conv.0.weight;body.4.conv.1.weight;body.4.conv.1.bias;body.4.conv.1.running_mean;body.4.conv.1.running_var;body.4.conv.1.num_batches_tracked,raw_state_dict,511,310,BASELINE_CLASSIFIER,,,baseline_unknown,False,False,False,,,,,False,False,False,False,,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:bdd6f060a288e9a83fe0,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_1.pth,checkpoint_epoch_1.pth,97551360,bdd6f060a288e9a83fe0b78838a75a55be0b7331f831fabdb46d2564172b18b8,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,1,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:7dec7d4404260d0734a5,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_10.pth,checkpoint_epoch_10.pth,97552805,7dec7d4404260d0734a5fb699be21d5fd98c25e645824d801b0996b2e9f084c4,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,10,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:23c541ce3805b52880c9,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_100.pth,checkpoint_epoch_100.pth,97554250,23c541ce3805b52880c93c184e73de1b23eeac107422694937bbcf09b9ca64e1,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,100,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:9ec5c3ba78b20c92817a,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_11.pth,checkpoint_epoch_11.pth,97552805,9ec5c3ba78b20c92817a95d9d32edd9c988b0ad1c612721e6b07677d7bf0d029,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,11,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:84e60c8ddda712cb6236,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_12.pth,checkpoint_epoch_12.pth,97552805,84e60c8ddda712cb62368200501db16235f1c1705416a49a40e1f68d9b67f915,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,12,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:3da61c1cfa82731a4829,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_13.pth,checkpoint_epoch_13.pth,97552805,3da61c1cfa82731a482929622f32b99fc9fd7b2df81a5b691369e751851ee954,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,13,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:0cdc62f432dada0a2b64,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_14.pth,checkpoint_epoch_14.pth,97552805,0cdc62f432dada0a2b647d1afaa2e6ea1255738d7fd701d92531bf1a4202bd64,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,14,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:1531d957837dcea25805,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_15.pth,checkpoint_epoch_15.pth,97552805,1531d957837dcea2580559dd2f247c82524aaf3e521d4d2ba1165d00d1cc96ef,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,15,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:589372dc375cc543865a,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_16.pth,checkpoint_epoch_16.pth,97552805,589372dc375cc543865a5122812be3798313e97a05d48ca4f61cfa06ffe6360d,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,16,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:b355d8ca156a6b4bf27a,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_17.pth,checkpoint_epoch_17.pth,97552805,b355d8ca156a6b4bf27a408061096c96692e09cb024158d996ab78e4202ed568,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,17,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:1c0f48ec3967c407b556,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_18.pth,checkpoint_epoch_18.pth,97552805,1c0f48ec3967c407b5568ec93530bce3ec5416d7145612dc4d8f77eddbe9d6da,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,18,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
