scope_c_artifact,scope_c_sha256,matched_scope,matched_path,matched_sha256,byte_identical,classification,lineage_implication
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/finetune_mu_23.0.pth,5bf0da9d18229665bf69548c884f76886e00626ef86c1c013ba03307e1245e30,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/finetune_mu_25.0.pth,893c229eb3c1fe88fcb6163097cc82f4fa92623df6abc92f0a1c608acc7691e2,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/finetune_mu_27.0.pth,a34876c035f307844a70a89ff053edc20758e9ac1af035ba5bdb8aba04daa392,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/finetune_mu_30.0.pth,51cd9cd7d9d2c2a3d3b472040b1434b1d7dbe21907615d570e50397aba629351,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/finetune_mu_33.0.pth,b286fe7b5797f71f1ab2a72160078ed8bf394b97d6d29bfbcaa7ac456772cbeb,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/finetune_mu_40.0.pth,3e0b6f3429238a120ca26c3cf4282fa1d84a2f67da83c23fbb64b61bbb5fd5e5,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_classifier_final_mu_10.0.pth,76a07f9ca56410e6c3ff48ccc7ced18bc763949dfa51117ef33624a16228fdc8,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_classifier_final_mu_2.0.pth,a8c8fd4d65837ce0303ee8316acd089c5ab3b4aeb924968d5d891205909ab824,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_classifier_final_mu_20.0.pth,3a8564c90ced48552bec012efe8c40f81bb785d219515feca51815f4c5d70aaa,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_classifier_final_mu_23.0.pth,7ffb8c475bf7418182d86d555cd45f42a83581f9d0146864835c6fe3020e522e,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_classifier_final_mu_25.0.pth,fa3ebec007a3803489918e4e062167caea201130c4db78553c9fbe49704f05d8,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_classifier_final_mu_27.0.pth,24c94503d8a39e308f03aff34df27879e17f77f66abcddbb0cb3606e83386d0f,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_classifier_final_mu_30.0.pth,19197f1b66c044fb69911a5e1124292a6f5f77c0ff1d35b057194a6e06881fe7,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_classifier_final_mu_33.0.pth,b724531a7d0d69db21a687fd90e1c55c052f2138cc2f7e12774df4a2868fe7a9,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_classifier_final_mu_40.0.pth,14b4520dc825142b158789ba8bbbc81c2018905944465ee60cd23b15b0378b44,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
