checkpoint_id,source,relative_path,filename,size_bytes,sha256,top_level_keys,structure,epoch_if_available,model_name_if_available,mu_if_available,metric_if_available,optimizer_state_present,compatible_model,matching_legacy_sha256,suspected_notebook,status,inspect_error
sha256:94f99a3efdeb2094bb30,LOCAL,checkpoints_massive/best_model.pth,best_model.pth,32712893,94f99a3efdeb2094bb305b0362338eb053c17c8cb4b81f9529e95c45822894ed,stem.0.weight;stem.1.weight;stem.1.bias;stem.1.running_mean;stem.1.running_var;stem.1.num_batches_tracked;body.0.conv.0.weight;body.0.conv.1.weight;body.0.conv.1.bias;body.0.conv.1.running_mean;body.0.conv.1.running_var;body.0.conv.1.num_batches_tracked;body.0.conv.3.weight;body.0.conv.4.weight;body.0.conv.4.bias;body.0.conv.4.running_mean;body.0.conv.4.running_var;body.0.conv.4.num_batches_tracked;body.0.conv.6.weight;body.0.conv.7.weight;body.0.conv.7.bias;body.0.conv.7.running_mean;body.0.conv.7.running_var;body.0.conv.7.num_batches_tracked;body.0.se.1.weight;body.0.se.1.bias;body.0.se.3.weight;body.0.se.3.bias;body.1.conv.0.weight;body.1.conv.1.weight;body.1.conv.1.bias;body.1.conv.1.running_mean;body.1.conv.1.running_var;body.1.conv.1.num_batches_tracked;body.1.conv.3.weight;body.1.conv.4.weight;body.1.conv.4.bias;body.1.conv.4.running_mean;body.1.conv.4.running_var;body.1.conv.4.num_batches_tracked;body.1.conv.6.weight;body.1.conv.7.weight;body.1.conv.7.bias;body.1.conv.7.running_mean;body.1.conv.7.running_var;body.1.conv.7.num_batches_tracked;body.1.se.1.weight;body.1.se.1.bias;body.1.se.3.weight;body.1.se.3.bias;body.2.conv.0.weight;body.2.conv.1.weight;body.2.conv.1.bias;body.2.conv.1.running_mean;body.2.conv.1.running_var;body.2.conv.1.num_batches_tracked;body.2.conv.3.weight;body.2.conv.4.weight;body.2.conv.4.bias;body.2.conv.4.running_mean;body.2.conv.4.running_var;body.2.conv.4.num_batches_tracked;body.2.conv.6.weight;body.2.conv.7.weight;body.2.conv.7.bias;body.2.conv.7.running_mean;body.2.conv.7.running_var;body.2.conv.7.num_batches_tracked;body.2.se.1.weight;body.2.se.1.bias;body.2.se.3.weight;body.2.se.3.bias;body.3.conv.0.weight;body.3.conv.1.weight;body.3.conv.1.bias;body.3.conv.1.running_mean;body.3.conv.1.running_var;body.3.conv.1.num_batches_tracked;body.3.conv.3.weight;body.3.conv.4.weight;body.3.conv.4.bias;body.3.conv.4.running_mean;body.3.conv.4.running_var;body.3.conv.4.num_batches_tracked;body.3.conv.6.weight;body.3.conv.7.weight;body.3.conv.7.bias;body.3.conv.7.running_mean;body.3.conv.7.running_var;body.3.conv.7.num_batches_tracked;body.3.se.1.weight;body.3.se.1.bias;body.3.se.3.weight;body.3.se.3.bias;body.4.conv.0.weight;body.4.conv.1.weight;body.4.conv.1.bias;body.4.conv.1.running_mean;body.4.conv.1.running_var;body.4.conv.1.num_batches_tracked,raw_state_dict,,,,,False,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:bdd6f060a288e9a83fe0,LOCAL,checkpoints_massive/checkpoint_epoch_1.pth,checkpoint_epoch_1.pth,97551360,bdd6f060a288e9a83fe0b78838a75a55be0b7331f831fabdb46d2564172b18b8,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,1,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:7dec7d4404260d0734a5,LOCAL,checkpoints_massive/checkpoint_epoch_10.pth,checkpoint_epoch_10.pth,97552805,7dec7d4404260d0734a5fb699be21d5fd98c25e645824d801b0996b2e9f084c4,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,10,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:23c541ce3805b52880c9,LOCAL,checkpoints_massive/checkpoint_epoch_100.pth,checkpoint_epoch_100.pth,97554250,23c541ce3805b52880c93c184e73de1b23eeac107422694937bbcf09b9ca64e1,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,100,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:9ec5c3ba78b20c92817a,LOCAL,checkpoints_massive/checkpoint_epoch_11.pth,checkpoint_epoch_11.pth,97552805,9ec5c3ba78b20c92817a95d9d32edd9c988b0ad1c612721e6b07677d7bf0d029,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,11,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:84e60c8ddda712cb6236,LOCAL,checkpoints_massive/checkpoint_epoch_12.pth,checkpoint_epoch_12.pth,97552805,84e60c8ddda712cb62368200501db16235f1c1705416a49a40e1f68d9b67f915,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,12,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:3da61c1cfa82731a4829,LOCAL,checkpoints_massive/checkpoint_epoch_13.pth,checkpoint_epoch_13.pth,97552805,3da61c1cfa82731a482929622f32b99fc9fd7b2df81a5b691369e751851ee954,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,13,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:0cdc62f432dada0a2b64,LOCAL,checkpoints_massive/checkpoint_epoch_14.pth,checkpoint_epoch_14.pth,97552805,0cdc62f432dada0a2b647d1afaa2e6ea1255738d7fd701d92531bf1a4202bd64,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,14,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:1531d957837dcea25805,LOCAL,checkpoints_massive/checkpoint_epoch_15.pth,checkpoint_epoch_15.pth,97552805,1531d957837dcea2580559dd2f247c82524aaf3e521d4d2ba1165d00d1cc96ef,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,15,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:589372dc375cc543865a,LOCAL,checkpoints_massive/checkpoint_epoch_16.pth,checkpoint_epoch_16.pth,97552805,589372dc375cc543865a5122812be3798313e97a05d48ca4f61cfa06ffe6360d,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,16,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:b355d8ca156a6b4bf27a,LOCAL,checkpoints_massive/checkpoint_epoch_17.pth,checkpoint_epoch_17.pth,97552805,b355d8ca156a6b4bf27a408061096c96692e09cb024158d996ab78e4202ed568,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,17,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
