claim_id,manuscript_section,claim,claimed_value,experiment_id,dataset_manifest,split_manifest,notebook,script,checkpoint,metrics_file,figure,evidence_status,notes,required_action,historical_metric_type,data_exposure,recovery
ARCH,Methods,SoilNet architecture,NOT_PROVIDED,SEE_EXPERIMENT_GRAPH,data/manifests/soilnet_samples.csv,data/splits/final_split.csv (prospective only),See results/audit/experiment_graph.csv,See legacy_file_inventory.csv,See checkpoint_inventory.csv,See experiment_graph.csv,MISSING_MANUSCRIPT_MAPPING,SUPPORTED,Legacy architecture code is present at the pinned commit.,Document canonical architecture.,UNKNOWN,UNKNOWN,KEEP
LIGHT,Methods,Light-intensity input,NOT_PROVIDED,SEE_EXPERIMENT_GRAPH,data/manifests/soilnet_samples.csv,data/splits/final_split.csv (prospective only),See results/audit/experiment_graph.csv,See legacy_file_inventory.csv,See checkpoint_inventory.csv,See experiment_graph.csv,MISSING_MANUSCRIPT_MAPPING,SUPPORTED,Legacy dual-head code concatenates a learned light feature.,Keep input scaling explicit.,UNKNOWN,UNKNOWN,KEEP
SM0,Results,SM_0 regression performance,NOT_PROVIDED,SEE_EXPERIMENT_GRAPH,data/manifests/soilnet_samples.csv,data/splits/final_split.csv (prospective only),See results/audit/experiment_graph.csv,See legacy_file_inventory.csv,See checkpoint_inventory.csv,See experiment_graph.csv,MISSING_MANUSCRIPT_MAPPING,SUPPORTED_TRAINING_ONLY,Legacy fine-tune notebooks use the training dataloader for final metrics.,Reevaluate on truly unseen data or rerun selected model with group split.,TRAIN,CONFIRMED_LEAKAGE,SHORT_FINETUNE
SM20,Results,SM_20 regression performance,NOT_PROVIDED,SEE_EXPERIMENT_GRAPH,data/manifests/soilnet_samples.csv,data/splits/final_split.csv (prospective only),See results/audit/experiment_graph.csv,See legacy_file_inventory.csv,See checkpoint_inventory.csv,See experiment_graph.csv,MISSING_MANUSCRIPT_MAPPING,SUPPORTED_TRAINING_ONLY,Legacy fine-tune notebooks use the training dataloader for final metrics.,Reevaluate on truly unseen data or rerun selected model with group split.,TRAIN,CONFIRMED_LEAKAGE,SHORT_FINETUNE
CLASS,Results,Moisture classification performance,NOT_PROVIDED,SEE_EXPERIMENT_GRAPH,data/manifests/soilnet_samples.csv,data/splits/final_split.csv (prospective only),See results/audit/experiment_graph.csv,See legacy_file_inventory.csv,See checkpoint_inventory.csv,See experiment_graph.csv,MISSING_MANUSCRIPT_MAPPING,SUPPORTED_TRAINING_ONLY,Accuracy/F1 were computed on the training dataloader in current fine-tune notebooks.,Reevaluate on held-out groups.,TRAIN,CONFIRMED_LEAKAGE,SHORT_FINETUNE
SSL,Methods/Results,SSL-VICReg,NOT_PROVIDED,SEE_EXPERIMENT_GRAPH,data/manifests/soilnet_samples.csv,data/splits/final_split.csv (prospective only),See results/audit/experiment_graph.csv,See legacy_file_inventory.csv,See checkpoint_inventory.csv,See experiment_graph.csv,MISSING_MANUSCRIPT_MAPPING,PARTIALLY_SUPPORTED,"Multiple notebooks, training CSVs, and checkpoints exist; held-out downstream evidence is unresolved.",Verify checkpoint lineage and reevaluate selected checkpoint.,TRAIN,POTENTIAL_LEAKAGE,KEEP
MU,Results,mu ablation,NOT_PROVIDED,SEE_EXPERIMENT_GRAPH,data/manifests/soilnet_samples.csv,data/splits/final_split.csv (prospective only),See results/audit/experiment_graph.csv,See legacy_file_inventory.csv,See checkpoint_inventory.csv,See experiment_graph.csv,MISSING_MANUSCRIPT_MAPPING,SUPPORTED_TRAINING_ONLY,"Artifacts exist for multiple mu values, but stored downstream metrics are training-scope.",Do not rerun sweep unless manuscript mapping requires it.,TRAIN,CONFIRMED_LEAKAGE,MISSING
TINY,Methods/Results,TinyImageNet pretraining,NOT_PROVIDED,SEE_EXPERIMENT_GRAPH,data/manifests/soilnet_samples.csv,data/splits/final_split.csv (prospective only),See results/audit/experiment_graph.csv,See legacy_file_inventory.csv,See checkpoint_inventory.csv,See experiment_graph.csv,MISSING_MANUSCRIPT_MAPPING,PARTIALLY_SUPPORTED,Scripts/checkpoints exist; initialization differs from baselines and result scope needs review.,Verify hashes and protocol.,TRAIN,POTENTIAL_LEAKAGE,KEEP
BASE,Results,Baseline models,NOT_PROVIDED,SEE_EXPERIMENT_GRAPH,data/manifests/soilnet_samples.csv,data/splits/final_split.csv (prospective only),See results/audit/experiment_graph.csv,See legacy_file_inventory.csv,See checkpoint_inventory.csv,See experiment_graph.csv,MISSING_MANUSCRIPT_MAPPING,PARTIALLY_SUPPORTED,"A baseline script exists, but it uses random initialization while SoilNet uses pretrained=True.",Do not claim a fair comparison without matched initialization.,TRAIN,CONFIRMED_LEAKAGE,MISSING
KNN,Results,KNN,NOT_PROVIDED,UNMAPPED,data/manifests/soilnet_samples.csv,data/splits/final_split.csv (prospective only),See results/audit/experiment_graph.csv,See legacy_file_inventory.csv,See checkpoint_inventory.csv,See experiment_graph.csv,MISSING_MANUSCRIPT_MAPPING,MISSING,No KNN code or result row was found in the pinned legacy artifacts or inventoried local result files.,Provide the missing artifact or recompute cheaply from verified frozen embeddings.,UNKNOWN,UNKNOWN,CHEAP_RECOMPUTE
