sha256,group_id,group_size,SM_0_min,SM_0_max,SM_0_range,SM_20_min,SM_20_max,SM_20_range,LI_min,LI_max,moisture_classes_present,paths
00905821ecc223e991a8ae79e30a1d0e96b33018482c53840d07dd7f2a6ed88b,sha256:00905821ecc223e9,2,40,53,13,40,51,11,90,94,3;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143128222_276e4e8586100105a226ae375886a943.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143128222_276e4e8586100105a226ae375886a943.jpg
1036124b03e417fccc2b2771da3daa5a7aa4639e9c0f2094e2f620f40d734ce6,sha256:1036124b03e417fc,3,32,62,30,31,64,33,82,86,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg
152c3629f5e51fcdd37dc597a1642fce5df05fa051ff1e636ab64591586992fa,sha256:152c3629f5e51fcd,3,30,62,32,30,62,32,85,89,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg
18bc134226d0f0292404508331885ed7ec92dac7ad23953057102c75b475fc2a,sha256:18bc134226d0f029,3,37,68,31,38,66,28,81,87,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg
18bc70fb3bbd74cd8bf3ab88ec4e48b1aa2fdd6673a130490622719209b228e0,sha256:18bc70fb3bbd74cd,4,35,61,26,34,59,25,82,88,3;4;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg;Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg
1ce12e72af799f3ef641eac772e49eaa601410979f064594ee0697444163f229,sha256:1ce12e72af799f3e,3,32,55,23,31,54,23,93,98,3;4;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg;Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg
1d9f70a629ed7f33b5bb9dcbf9d2edf129960e30bc7d5a1fad18323eb20bc184,sha256:1d9f70a629ed7f33,2,33,51,18,35,50,15,93,95,3;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142605939_7caf2dad0259dceaa9b82d0f49f18ce1.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142605939_7caf2dad0259dceaa9b82d0f49f18ce1.jpg
22f013a0c4a1d0d774875af11dd19a5943ec5cf8b4947bac016c8b4c94101565,sha256:22f013a0c4a1d0d7,2,35,52,17,36,54,18,91,97,3;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143103699_d6de3602e00ee02916b885433cd153ac.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143103699_d6de3602e00ee02916b885433cd153ac.jpg
26bb3fee4d57dc0f3c2e373eaccb19a1a4f4b8da2c84829c5918e6d3a9e603b3,sha256:26bb3fee4d57dc0f,4,35,62,27,33,61,28,81,84,3;4;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg;Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg
2746273450e1a7d8101832135e632930f65ff0bfb7e569ab2f263d346d531f9b,sha256:2746273450e1a7d8,2,13,19,6,15,20,5,83,89,1,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0757.JPG;Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0758.JPG
28778be0bae3539683f2940129076cf100dfde68b5c5159cc728f519231fc91e,sha256:28778be0bae35396,2,38,53,15,40,55,15,90,91,3;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143154446_d6236257ccb21858bbf8354df5e10a69.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143154446_d6236257ccb21858bbf8354df5e10a69.jpg
323a8ac7e9832d5f0b28a04df602dc3fc509c5d0fbaf03cc9c92e70db03d6391,sha256:323a8ac7e9832d5f,2,39,60,21,40,60,20,90,95,3;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143078801_9e7f2d067ac7542cc6f3b8a5bd731451.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143078801_9e7f2d067ac7542cc6f3b8a5bd731451.jpg
335f93b7096fabc3a68114e8059a8e21ce0d591798de4cde573718489111b02b,sha256:335f93b7096fabc3,2,14,16,2,15,16,1,84,90,1,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0760.JPG;Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0761.JPG
356b4f61f11c3f3639169e6ac8da9d34ad8d408c85fcafa9b03665c25a2c2d22,sha256:356b4f61f11c3f36,3,32,68,36,33,69,36,82,84,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720116028219_3547ed7fc4e58ca77d0a9c04ad52a29b.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720116028219_3547ed7fc4e58ca77d0a9c04ad52a29b.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720116028219_3547ed7fc4e58ca77d0a9c04ad52a29b.jpg
524dd00cf9334bab01402f9145428779b1cb96912a8f0c138dbce8e413024df2,sha256:524dd00cf9334bab,2,32,54,22,34,54,20,94,96,3;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143138433_5a1eba502028ab521a9ccc45f968b42d.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143138433_5a1eba502028ab521a9ccc45f968b42d.jpg
55f747c71cf8d43b96b8f3014da9b1f6dca9a9c5be1fbac3617b12384bcd8350,sha256:55f747c71cf8d43b,3,7,9,2,8,14,6,31,32,0,Soil_Labeled_Data/M_0_10/L_30_40/alluvial/IMG_0096.JPG;Soil_Labeled_Data/M_0_10/L_30_40/alluvial/IMG_0097.JPG;Soil_Labeled_Data/M_0_10/L_30_40/alluvial/IMG_0115.JPG
5873f295503021948402983e0b69c19684e53795933b1f0e7413811e5fe0efb1,sha256:5873f29550302194,4,33,64,31,33,63,30,80,86,3;4;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720116056023_3d3d361e4d7255ed7de4195fa640e456.jpg;Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720116056023_3d3d361e4d7255ed7de4195fa640e456.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720116056023_3d3d361e4d7255ed7de4195fa640e456.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720116056023_3d3d361e4d7255ed7de4195fa640e456.jpg
5cf7cb08c11a60bc59b83cc1cb413d9026009f6b151dbbaf84695108d9c113d4,sha256:5cf7cb08c11a60bc,2,51,57,6,50,57,7,72,73,5,Soil_Labeled_Data/M_50_60/L_70_80/alluvial/IMG_0705_M_10_20_light_brown_M_30_40_light_brown.jpg;Soil_Labeled_Data/M_50_60/L_70_80/alluvial/IMG_0706_M_10_20_light_brown_M_30_40_light_brown.jpg
5d994566c0b179988accce70d34367cca75f3d938d184b5d7c8c9558266443ca,sha256:5d994566c0b17998,2,33,60,27,31,60,29,93,99,3;5,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142873591_1e258c120dc7fd38c4364dc88310cf49.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142873591_1e258c120dc7fd38c4364dc88310cf49.jpg
6dd61e46951640ce81a122981b61d8e716bfb01a13aa1ca5643228cd448c10c7,sha256:6dd61e46951640ce,3,40,70,30,40,69,29,86,88,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720116009994_7473d14d835476f47632659bffa27b72.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720116009994_7473d14d835476f47632659bffa27b72.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720116009994_7473d14d835476f47632659bffa27b72.jpg
7230e1cf8fc623e3ff5e052ad819fe35ff56d2740228ea685e65aeff6f9082f1,sha256:7230e1cf8fc623e3,3,37,70,33,38,68,30,84,90,3;5;6,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720116040527_64efc6d26d1ee063c31ac7c808603d38.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720116040527_64efc6d26d1ee063c31ac7c808603d38.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720116040527_64efc6d26d1ee063c31ac7c808603d38.jpg
