duplicate_group_id,sha256,group_size,classification,conflicting_fields,missing_metadata_fields,SM_0_values,SM_20_values,light_value_values,moisture_class_values,moisture_bin_values,light_bin_values,soil_type_values,capture_session_values,source_group_values,phase2_near_group_ids,member_sample_ids,member_relative_paths,resolution
sha256:00905821ecc223e9,00905821ecc223e991a8ae79e30a1d0e96b33018482c53840d07dd7f2a6ed88b,2,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,40;53,40;51,90;94,3;5,M_30_40;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:e92eaca4ff3b1796,00d5f023511abaf8e676;e8b0cd2c995d907fdaf3,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143128222_276e4e8586100105a226ae375886a943.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143128222_276e4e8586100105a226ae375886a943.jpg,DO_NOT_AUTO_RESOLVE
sha256:1036124b03e417fc,1036124b03e417fccc2b2771da3daa5a7aa4639e9c0f2094e2f620f40d734ce6,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,32;51;62,31;49;64,82;85;86,3;5;6,M_30_40;M_50_60;M_60_70,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:790ceaf06e875e73,044b361d62eafd6848cc;40e4859841f6461c5799;da91723cc11cc1e2606b,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,DO_NOT_AUTO_RESOLVE
sha256:152c3629f5e51fcd,152c3629f5e51fcdd37dc597a1642fce5df05fa051ff1e636ab64591586992fa,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,30;50;62,30;51;62,85;87;89,3;5;6,M_30_40;M_50_60;M_60_70,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:522c1adc444fd47d,0a2458593f29c4bfa00e;290e8751b1e6cabf6a05;7b413eb8b352bda0dea5,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,DO_NOT_AUTO_RESOLVE
sha256:18bc134226d0f029,18bc134226d0f0292404508331885ed7ec92dac7ad23953057102c75b475fc2a,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,37;52;68,38;50;66,81;84;87,3;5;6,M_30_40;M_50_60;M_60_70,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:68fe58b58a79ace5,2885945b220a4cba35d3;473a4f4a33aebb697a01;62c27104169ff615982f,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,DO_NOT_AUTO_RESOLVE
sha256:18bc70fb3bbd74cd,18bc70fb3bbd74cd8bf3ab88ec4e48b1aa2fdd6673a130490622719209b228e0,4,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,35;43;54;61,34;45;55;59,82;85;87;88,3;4;5;6,M_30_40;M_40_50;M_50_60;M_60_70,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:aed58a259ead6a36,00cac614ccf99e7eca7d;605650cb9ddba9661922;7d871def2b0f592ae0ee;b45ddcb1a0f9311e962e,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg;Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,DO_NOT_AUTO_RESOLVE
sha256:1ce12e72af799f3e,1ce12e72af799f3ef641eac772e49eaa601410979f064594ee0697444163f229,3,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,32;42;55,31;40;54,93;98,3;4;5,M_30_40;M_40_50;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:2907e22073607f47,2889d30390de5b6a7dc7;a9da3f249e47b562e811;b0ef2b0f21d79461cb3e,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg;Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,DO_NOT_AUTO_RESOLVE
sha256:1d9f70a629ed7f33,1d9f70a629ed7f33b5bb9dcbf9d2edf129960e30bc7d5a1fad18323eb20bc184,2,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,33;51,35;50,93;95,3;5,M_30_40;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:4fc1288e79818782,e5922ce6cb21fe5c9243;ec4fcdad3b687bec98c0,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142605939_7caf2dad0259dceaa9b82d0f49f18ce1.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142605939_7caf2dad0259dceaa9b82d0f49f18ce1.jpg,DO_NOT_AUTO_RESOLVE
sha256:22f013a0c4a1d0d7,22f013a0c4a1d0d774875af11dd19a5943ec5cf8b4947bac016c8b4c94101565,2,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,35;52,36;54,91;97,3;5,M_30_40;M_50_60,L_90_100,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:dcb5f1e62586665b,3a08df9ab58651e939a3;d66c77242dce86e6e9a7,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143103699_d6de3602e00ee02916b885433cd153ac.jpg;Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143103699_d6de3602e00ee02916b885433cd153ac.jpg,DO_NOT_AUTO_RESOLVE
sha256:26bb3fee4d57dc0f,26bb3fee4d57dc0f3c2e373eaccb19a1a4f4b8da2c84829c5918e6d3a9e603b3,4,CONFLICTING_LABEL,SM_0;SM_20;light_value;moisture_class;moisture_bin,capture_session;source_group,35;45;59;62,33;45;61,81;84,3;4;5;6,M_30_40;M_40_50;M_50_60;M_60_70,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:70066ce13207a235,34916b894a9ad9a1c5a4;a3dd1a14b20acc9ba88e;b38013506227b42bf16f;d56db68a0329645c2eef,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg;Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg;Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg;Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg,DO_NOT_AUTO_RESOLVE
sha256:2746273450e1a7d8,2746273450e1a7d8101832135e632930f65ff0bfb7e569ab2f263d346d531f9b,2,CONFLICTING_LABEL,SM_0;SM_20;light_value,capture_session;source_group,13;19,15;20,83;89,1,M_10_20,L_80_90,alluvial,UNAVAILABLE_NOT_IN_LABELS,UNAVAILABLE_NOT_IN_LABELS,phash:440cf10437760781,0308ea9aed59285f1583;93d132742b6b55e9ac3d,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0757.JPG;Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0758.JPG,DO_NOT_AUTO_RESOLVE
