experiment_id,stage,dataset,pretraining,checkpoint,fine_tuning,evaluation,metrics_file,manuscript_table_or_figure,source_notebook_or_script
PRETRAIN_TINYIMAGENET_7cd3174d,PRETRAIN,TinyImageNet,TinyImageNet,vicreg_model_final_tinyImageNet_mu_20.0.pth;vicreg_model_final_tinyImageNet_mu_23.0.pth;vicreg_model_final_tinyImageNet_mu_25.0.pth;vicreg_model_final_tinyImageNet_mu_27.0.pth,N/A,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_20.csv;finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_23.csv;finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_25.csv;finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_27.csv;finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_30.csv;finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_33.csv,MISSING_MANUSCRIPT_MAPPING,Base_line_models_pretrain_ImageNet.py
SSL_ORIGINAL_MU23_9f8291ff,SSL,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_23.0.pth,N/A,NO_FINAL_METRICS_DETECTED,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_23.csv;finetune_new/training_metrics_finetuned_VicReg_mu_23.csv,MISSING_MANUSCRIPT_MAPPING,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_23.ipynb
SSL_ORIGINAL_MU25_e9b4c96d,SSL,soil labeled + unlabeled,ImageNet initialization,Best_finetuned_VicReg_mu_25.pth;checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_25.0.pth,N/A,NO_FINAL_METRICS_DETECTED,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_25.csv;finetune_new/training_metrics_finetuned_VicReg_mu_25.csv,MISSING_MANUSCRIPT_MAPPING,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_25.ipynb
SSL_ORIGINAL_MU27_419d314a,SSL,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_27.0.pth,N/A,NO_FINAL_METRICS_DETECTED,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv;finetune_new/training_metrics_finetuned_VicReg_mu_27.csv,MISSING_MANUSCRIPT_MAPPING,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb
SSL_ORIGINAL_MU30_3f07c79c,SSL,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_30.0.pth,N/A,NO_FINAL_METRICS_DETECTED,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_30.csv;finetune_new/training_metrics_finetuned_VicReg_mu_30.csv,MISSING_MANUSCRIPT_MAPPING,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_30.ipynb
SSL_ORIGINAL_MU33_ba97efdd,SSL,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_33.0.pth,N/A,NO_FINAL_METRICS_DETECTED,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_33.csv;finetune_new/training_metrics_finetuned_VicReg_mu_33.csv,MISSING_MANUSCRIPT_MAPPING,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_33.ipynb
FINETUNE_ORIGINAL_MU20_2e7e14d2,FINETUNE,soil labeled + unlabeled,ImageNet initialization,MISSING_OR_UNMAPPED,finetune_mu=20.ipynb,TRAINING_SET_METRICS_ONLY,finetune_new/training_metrics_finetuned_VicReg_mu_20.csv,MISSING_MANUSCRIPT_MAPPING,finetune_mu=20.ipynb
FINETUNE_ORIGINAL_MU23_8462b9ef,FINETUNE,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_23.0.pth,finetune_mu=23.ipynb,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_23.csv;finetune_new/training_metrics_finetuned_VicReg_mu_23.csv,MISSING_MANUSCRIPT_MAPPING,finetune_mu=23.ipynb
FINETUNE_ORIGINAL_MU25_46a0429e,FINETUNE,soil labeled + unlabeled,ImageNet initialization,Best_finetuned_VicReg_mu_25.pth;checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_25.0.pth,finetune_mu=25.ipynb,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_25.csv;finetune_new/training_metrics_finetuned_VicReg_mu_25.csv,MISSING_MANUSCRIPT_MAPPING,finetune_mu=25.ipynb
FINETUNE_ORIGINAL_MU27_66af6eba,FINETUNE,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_27.0.pth,finetune_mu=27.ipynb,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv;finetune_new/training_metrics_finetuned_VicReg_mu_27.csv,MISSING_MANUSCRIPT_MAPPING,finetune_mu=27.ipynb
FINETUNE_ORIGINAL_MU30_df37f1f1,FINETUNE,soil labeled + unlabeled,ImageNet initialization,checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_30.0.pth,finetune_mu=30.ipynb,TRAINING_SET_METRICS_ONLY,checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_30.csv;finetune_new/training_metrics_finetuned_VicReg_mu_30.csv,MISSING_MANUSCRIPT_MAPPING,finetune_mu=30.ipynb
