candidate_id,path,scope,sha256,category,mu,imagenet_initialized,ssl_method,epoch_if_known,encoder_present,projector_present,compatible_with_final_soilnet,lineage_status,linked_notebook,linked_metrics,selection_status,reason
CHECKPOINT_ROOT:42599ac025b8d8c8c5b8,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_model_final_mu_27.0.pth,CHECKPOINT_ROOT,42599ac025b8d8c8c5b8cca36624665f155e0ff588cd90de2fd47b08cd2d60d8,SSL_BACKBONE,27,True,VICReg,80,True,False,True,VERIFIED_LINEAGE,LEGACY_GITHUB:checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv,SELECTED_FOR_FINAL_REVALIDATION,Safe compatible raw SoilNet state; identical tensor-for-tensor to epoch-80 model_state_dict; epoch/loss matches the 80-row mu=27 CSV; save notebook is byte-identical across DATA_ROOT and pinned legacy; 269 verified legacy mobilevit_full alias keys are removed before strict canonical loading.
CHECKPOINT_ROOT:2bc01fe41632d8cfad0b,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_mu_27.0_epoch_1.pth,CHECKPOINT_ROOT,2bc01fe41632d8cfad0b2634df2a9add73c1accde50dcafaa3c3c933b5b0c532,PARTIAL_STATE,27,True,VICReg,1,True,True,True,HIGH_CONFIDENCE_LINEAGE,LEGACY_GITHUB:checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv,REJECTED_INTERMEDIATE_SSL_EPOCH,Intermediate SSL training state is superseded by the tensor-identical final epoch-80 raw model state.
CHECKPOINT_ROOT:75fb0f09965766e2c23e,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_mu_27.0_epoch_10.pth,CHECKPOINT_ROOT,75fb0f09965766e2c23e836d5227206454c3df319edb67d636ac2c9275adcbb3,PARTIAL_STATE,27,True,VICReg,10,True,True,True,HIGH_CONFIDENCE_LINEAGE,LEGACY_GITHUB:checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv,REJECTED_INTERMEDIATE_SSL_EPOCH,Intermediate SSL training state is superseded by the tensor-identical final epoch-80 raw model state.
CHECKPOINT_ROOT:20674c8327c063879a0a,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_mu_27.0_epoch_11.pth,CHECKPOINT_ROOT,20674c8327c063879a0ae036494f4d130806fabb1b79b87731351081dc175deb,PARTIAL_STATE,27,True,VICReg,11,True,True,True,HIGH_CONFIDENCE_LINEAGE,LEGACY_GITHUB:checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv,REJECTED_INTERMEDIATE_SSL_EPOCH,Intermediate SSL training state is superseded by the tensor-identical final epoch-80 raw model state.
CHECKPOINT_ROOT:cb44caf02418d5e74594,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_mu_27.0_epoch_12.pth,CHECKPOINT_ROOT,cb44caf02418d5e74594293d41946ac40b418bcddb3e21e16e30ca8526597e7c,PARTIAL_STATE,27,True,VICReg,12,True,True,True,HIGH_CONFIDENCE_LINEAGE,LEGACY_GITHUB:checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv,REJECTED_INTERMEDIATE_SSL_EPOCH,Intermediate SSL training state is superseded by the tensor-identical final epoch-80 raw model state.
CHECKPOINT_ROOT:cbece95a8032d1db5fe6,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_mu_27.0_epoch_13.pth,CHECKPOINT_ROOT,cbece95a8032d1db5fe63d4e4b1b3f73ed7be979b71bf598d99fe5d527ee7429,PARTIAL_STATE,27,True,VICReg,13,True,True,True,HIGH_CONFIDENCE_LINEAGE,LEGACY_GITHUB:checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv,REJECTED_INTERMEDIATE_SSL_EPOCH,Intermediate SSL training state is superseded by the tensor-identical final epoch-80 raw model state.
CHECKPOINT_ROOT:3f92fced17ca61825bdb,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_mu_27.0_epoch_14.pth,CHECKPOINT_ROOT,3f92fced17ca61825bdb06eca96b3238008198417fb93560f51ce0d74f23cfae,PARTIAL_STATE,27,True,VICReg,14,True,True,True,HIGH_CONFIDENCE_LINEAGE,LEGACY_GITHUB:checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv,REJECTED_INTERMEDIATE_SSL_EPOCH,Intermediate SSL training state is superseded by the tensor-identical final epoch-80 raw model state.
CHECKPOINT_ROOT:cb1b7243f61c9cbe7c96,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_mu_27.0_epoch_15.pth,CHECKPOINT_ROOT,cb1b7243f61c9cbe7c96f786efa3e2d82877be2004243c651f76a4767f3ea6e5,PARTIAL_STATE,27,True,VICReg,15,True,True,True,HIGH_CONFIDENCE_LINEAGE,LEGACY_GITHUB:checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv,REJECTED_INTERMEDIATE_SSL_EPOCH,Intermediate SSL training state is superseded by the tensor-identical final epoch-80 raw model state.
CHECKPOINT_ROOT:c8f99f20aec6f4526690,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_mu_27.0_epoch_16.pth,CHECKPOINT_ROOT,c8f99f20aec6f452669096c7e79b2c49c4568e975fa2297ca461753029393755,PARTIAL_STATE,27,True,VICReg,16,True,True,True,HIGH_CONFIDENCE_LINEAGE,LEGACY_GITHUB:checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv,REJECTED_INTERMEDIATE_SSL_EPOCH,Intermediate SSL training state is superseded by the tensor-identical final epoch-80 raw model state.
CHECKPOINT_ROOT:b063e23c7a0fb3c4f0b6,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_mu_27.0_epoch_17.pth,CHECKPOINT_ROOT,b063e23c7a0fb3c4f0b6a6f924e8888f11f56f49eb861b567d4f9f7029d1c75c,PARTIAL_STATE,27,True,VICReg,17,True,True,True,HIGH_CONFIDENCE_LINEAGE,LEGACY_GITHUB:checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,CHECKPOINT_ROOT:checkpoints_VicReg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv,REJECTED_INTERMEDIATE_SSL_EPOCH,Intermediate SSL training state is superseded by the tensor-identical final epoch-80 raw model state.
