checkpoint_id,sha256,filename,relative_path,state_dict_prefix,reg_head_shape,cls_head_shape,num_classes,light_branch,suspected_mu,suspected_epoch,suspected_notebook,suspected_metrics_csv,training_dataset_count,training_split_known,historical_test_known,data_exposure,selection_basis,lineage_evidence_score,lineage_status,status,notes
sha256:5bf0da9d18229665bf69,5bf0da9d18229665bf69548c884f76886e00626ef86c1c013ba03307e1245e30,finetune_mu_23.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/finetune_mu_23.0.pth,raw_state_dict,2x128,10x128,10,True,23.0,,LEGACY_GITHUB:finetune_mu=23.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_23.csv,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,5,HIGH_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:893c229eb3c1fe88fcb6,893c229eb3c1fe88fcb6163097cc82f4fa92623df6abc92f0a1c608acc7691e2,finetune_mu_25.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/finetune_mu_25.0.pth,raw_state_dict,2x128,10x128,10,True,25.0,,LEGACY_GITHUB:finetune_mu=25.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_25.csv,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,5,HIGH_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:a34876c035f307844a70,a34876c035f307844a70a89ff053edc20758e9ac1af035ba5bdb8aba04daa392,finetune_mu_27.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/finetune_mu_27.0.pth,raw_state_dict,2x128,10x128,10,True,27.0,,LEGACY_GITHUB:finetune_mu=27.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_27.csv,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,5,HIGH_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:51cd9cd7d9d2c2a3d3b4,51cd9cd7d9d2c2a3d3b472040b1434b1d7dbe21907615d570e50397aba629351,finetune_mu_30.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/finetune_mu_30.0.pth,raw_state_dict,2x128,10x128,10,True,30.0,,LEGACY_GITHUB:finetune_mu=30.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_30.csv,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,5,HIGH_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:b286fe7b5797f71f1ab2,b286fe7b5797f71f1ab2a72160078ed8bf394b97d6d29bfbcaa7ac456772cbeb,finetune_mu_33.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/finetune_mu_33.0.pth,raw_state_dict,2x128,10x128,10,True,33.0,,LEGACY_GITHUB:finetune_mu=33.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_mu_33.csv,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,5,HIGH_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:3e0b6f3429238a120ca2,3e0b6f3429238a120ca26c3cf4282fa1d84a2f67da83c23fbb64b61bbb5fd5e5,finetune_mu_40.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/finetune_mu_40.0.pth,raw_state_dict,2x128,10x128,10,True,40.0,,LEGACY_GITHUB:finetune_mu=40.ipynb,UNMAPPED,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,4,MEDIUM_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:404b6cf3662da113b7c7,404b6cf3662da113b7c78dddd3548813d5f966d93895b883242d59498a9e59df,vicreg_model_final_tinyImageNet_mu_20.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_model_final_tinyImageNet_mu_20.0.pth,raw_state_dict,2x128,10x128,10,True,20.0,,LEGACY_GITHUB:finetune_tinyImage_mu=20.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_20.csv,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,5,HIGH_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:8e64f6898656a2192ea0,8e64f6898656a2192ea0769d56c78597e6ebad8c961212541f9ed4bcd77492cf,vicreg_model_final_tinyImageNet_mu_20.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_tinyImageNet_mu_20.0.pth,raw_state_dict,2x128,10x128,10,True,20.0,,LEGACY_GITHUB:finetune_tinyImage_mu=20.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_20.csv,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,5,HIGH_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:8fcecd49fbe72fed83ad,8fcecd49fbe72fed83add29022fc8dc11fc99352b4e38e11349eb256a5732aa2,vicreg_model_final_tinyImageNet_mu_23.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_tinyImageNet_mu_23.0.pth,raw_state_dict,2x128,10x128,10,True,23.0,,LEGACY_GITHUB:finetune_tinyImage_mu=23.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_23.csv,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,5,HIGH_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
sha256:cd98e7e59a49b87e9afb,cd98e7e59a49b87e9afb4146220b616122252042f94a57fef2d766a69bedb3e7,vicreg_model_final_tinyImageNet_mu_25.0.pth,Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_model_final_tinyImageNet_mu_25.0.pth,raw_state_dict,2x128,10x128,10,True,25.0,,LEGACY_GITHUB:finetune_tinyImage_mu=25.ipynb,Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/training_metrics_finetuned_VicReg_TinyImageNet_mu_25.csv,2057,False,False,TRAINED_ON_ALL_2057,LAST_EPOCH,5,HIGH_CONFIDENCE_LINEAGE,CANNOT_PROVIDE_PROSPECTIVE_HELDOUT_TEST,No notebook records the checkpoint SHA at save time; filename/path evidence alone is not VERIFIED lineage.
