relative_path,file_type,row_count,columns,evaluation_scope,read_error
Soil_Labeled_Data/labels.csv,csv,2057,id;path;moisture_bin;light_bin;SM_0;light_value;SM_20;moisture_class,SCOPE_NOT_PROVEN,
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_metrics.csv,csv,60,mu;epoch;vicreg_loss;mse_loss;rmse_loss;mae_loss;accuracy;f1_score,TRAINING_LOG_SUSPECTED,
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 1 ImageNet/Result/Mobilenetv2_Tiny_Imagenet_Pretrained_Results.csv,csv,100,Epoch;Loss;Accuracy;Precision;Recall;F1-Score,TRAINING_LOG_SUSPECTED,
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 1 ImageNet/Result/MobileViTV2_Tiny_Imagenet_Pretrained_Results.csv,csv,100,Epoch;Loss;Accuracy;Precision;Recall;F1-Score,TRAINING_LOG_SUSPECTED,
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 1 ImageNet/Result/SoilNet_pretrained_Tiny_ImageNet.xlsx,xlsx,100,Epoch;Loss;Accuracy (%);Precision (%);Recall (%);F1-Score (%),TRAINING_LOG_SUSPECTED,
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 2 VicReg/Results/SoilNet_orginal_20_epoch_VicReg_finetuneda.csv,csv,101,Epoch;Total_Loss;Regression_Loss;Classification_Loss;SM_0_RMSE;SM_0_MAE;SM_0_ME;SM_20_RMSE;SM_20_MAE;SM_20_ME;Classification_Accuracy;Classification_F1,TRAINING_LOG_SUSPECTED,
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 2 VicReg/Results/SoilNet_orginal_50_epoch_VicReg_finetuned.csv,csv,100,Epoch;Total_Loss;Regression_Loss;Classification_Loss;SM_0_RMSE;SM_0_MAE;SM_0_ME;SM_20_RMSE;SM_20_MAE;SM_20_ME;Classification_Accuracy;Classification_F1,TRAINING_LOG_SUSPECTED,
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 2 VicReg/Results/SoilNet_pretrained_20_epoch_VicReg_finetuned.csv,csv,100,Epoch;Total_Loss;Regression_Loss;Classification_Loss;SM_0_RMSE;SM_0_MAE;SM_0_ME;SM_20_RMSE;SM_20_MAE;SM_20_ME;Classification_Accuracy;Classification_F1,TRAINING_LOG_SUSPECTED,
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 2 VicReg/Results/SoilNet_pretrained_50_epoch_VicReg_finetuned.csv,csv,100,Epoch;Total_Loss;Regression_Loss;Classification_Loss;SM_0_RMSE;SM_0_MAE;SM_0_ME;SM_20_RMSE;SM_20_MAE;SM_20_ME;Classification_Accuracy;Classification_F1,TRAINING_LOG_SUSPECTED,
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 3 SOTA/Results/Result SOTA model.csv,csv,230,Model;Epoch;Total_Loss;Regression_Loss;Classification_Loss;SM_0_RMSE;SM_0_MAE;SM_0_ME;SM_20_RMSE;SM_20_MAE;SM_20_ME;Classification_Accuracy;Classification_F1;Time_s,TRAINING_LOG_SUSPECTED,
