experiment,source_file,architecture,component,initialization,external_pretraining,checkpoint_loaded,strict_load,fair_comparison
PRETRAIN_TINYIMAGENET,Base_line_models_pretrain_ImageNet.py,mobilenetv2_100,backbone_or_baseline,RANDOM,False,False,NOT_EXPLICIT_OR_TRUE,NO
PRETRAIN_TINYIMAGENET,Base_line_models_pretrain_ImageNet.py,mobilevitv2_050,backbone_or_baseline,RANDOM,False,False,NOT_EXPLICIT_OR_TRUE,NO
SSL_ORIGINAL_MU23,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU23,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_23.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU23,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU25,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU25,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_25.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU25,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU27,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU27,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU27,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU30,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU30,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_30.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU30,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU33,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_33.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU33,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_33.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU33,checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_33.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU20,finetune_mu=20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU20,finetune_mu=20.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU20,finetune_mu=20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU23,finetune_mu=23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU23,finetune_mu=23.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU23,finetune_mu=23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU25,finetune_mu=25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU25,finetune_mu=25.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU25,finetune_mu=25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU27,finetune_mu=27.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU27,finetune_mu=27.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU27,finetune_mu=27.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU30,finetune_mu=30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU30,finetune_mu=30.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU30,finetune_mu=30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU33,finetune_mu=33.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU33,finetune_mu=33.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU33,finetune_mu=33.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU40,finetune_mu=40.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU40,finetune_mu=40.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU40,finetune_mu=40.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU20,finetune_new/Finetune_VicReg_mu=20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU20,finetune_new/Finetune_VicReg_mu=20.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU23,finetune_new/Finetune_VicReg_mu=23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU23,finetune_new/Finetune_VicReg_mu=23.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU25,finetune_new/Finetune_VicReg_mu=25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU25,finetune_new/Finetune_VicReg_mu=25.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU27,finetune_new/Finetune_VicReg_mu=27.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU27,finetune_new/Finetune_VicReg_mu=27.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU30,finetune_new/Finetune_VicReg_mu=30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU30,finetune_new/Finetune_VicReg_mu=30.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
