relative_path,has_train_val_test_split,evaluation_on_training_loader_suspected,seed_present,random_choice,random_split,train_test_split,group_split,validation_checkpoint_selection,normalization,augmentation,target_scaled_div100,metric_rescaled_mul100,pretrained_true,pretrained_false,strict_false,evaluation_scope
Base_line_models_pretrain_ImageNet.py,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,TRAINING_SET_METRICS_ONLY
checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_23.ipynb,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,NO_FINAL_METRICS_DETECTED
checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_25.ipynb,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,NO_FINAL_METRICS_DETECTED
checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,NO_FINAL_METRICS_DETECTED
checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_30.ipynb,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,NO_FINAL_METRICS_DETECTED
checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_33.ipynb,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,NO_FINAL_METRICS_DETECTED
finetune_mu=20.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_mu=23.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_mu=25.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_mu=27.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_mu=30.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_mu=33.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_mu=40.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_new/Finetune_VicReg_mu=20.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_new/Finetune_VicReg_mu=23.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_new/Finetune_VicReg_mu=25.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_new/Finetune_VicReg_mu=27.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_new/Finetune_VicReg_mu=30.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_new/Finetune_VicReg_mu=33.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_new/Finetune_VicReg_TinyImageNet_mu=20.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_new/Finetune_VicReg_TinyImageNet_mu=23.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_new/Finetune_VicReg_TinyImageNet_mu=25.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_new/Finetune_VicReg_TinyImageNet_mu=27.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_new/Finetune_VicReg_TinyImageNet_mu=30.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_new/Finetune_VicReg_TinyImageNet_mu=33.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_tinyImage_mu=20.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_tinyImage_mu=23.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_tinyImage_mu=25.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
finetune_tinyImage_mu=27.ipynb,False,True,False,True,False,False,False,False,True,True,True,True,True,False,True,TRAINING_SET_METRICS_ONLY
