checkpoint_id,scope,relative_path,sha256,artifact_component,pretraining_source,initialization_evidence,protocol_status,prospective_test_exact_sha_exposed_in_unlabeled_pool,prospective_test_near_group_exposed_in_unlabeled_pool,notes
sha256:6e576e723823940c4fa0,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_model_final_mu_20.0.pth,6e576e723823940c4fa0a8241c53415914fbb4a520596fbf86565c7e329db7e6,SSL_BACKBONE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:fa3a2212913ffee059e2,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_1.pth,fa3a2212913ffee059e217a63357a803142a46182245d5994632bb36142215a3,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:39bdab0761fb1a76781c,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_10.pth,39bdab0761fb1a76781c0fbceeea147ad536b5ec2bf4e09820fae914dedb0c85,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:189bfa363594b1f2aa83,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_100.pth,189bfa363594b1f2aa833946a25d4c3d9e3a7d759fc088fe2e09b73114ae64bd,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:fa810241233b664c681b,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_11.pth,fa810241233b664c681b12e780d26c196c79974394d68a9a27e990e574d15771,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:35bb40cc66d9746f600b,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_12.pth,35bb40cc66d9746f600bebc65fb655e9a2da0467906b60dfa62495fba3386760,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:bc2efd22bc901d9c041a,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_13.pth,bc2efd22bc901d9c041aa84d6decf5bb2d932ed79c2202be5d4d8e1095136570,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:51fa3fae9627dc6248c1,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_14.pth,51fa3fae9627dc6248c1dccca8ddfdb1d96868770e93ed0e117c9da690ac2608,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:b0f660b88afd0d3e92dc,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_15.pth,b0f660b88afd0d3e92dc2ec382263c1d395f7d605da87ffa3cd8a3bf3d048c12,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
sha256:90793f12d9c939301629,CHECKPOINT_ROOT,checkpoints_VicReg_ImageNet_NEWXX/vicreg_mu_20.0_epoch_16.pth,90793f12d9c93930162901758f8723a84e011d4860b89beed66c768df09095e7,PARTIAL_STATE,UNKNOWN,Directory name is not sufficient provenance,PROVENANCE_UNKNOWN,197,238,Soil unlabeled pretraining cannot be called completely held-out inductive when prospective test images/groups overlap its pool.
