effect,metric,point estimate,bootstrap mean,95% CI lower,95% CI upper,proportion > 0,proportion < 0,replicates,seed
SoilNet SSL effect (P0 - P1_noSSL),SM0 RMSE,-2.22204222456,-2.22679142179,-4.12373287345,-0.354968319691,0.0104,0.9896,10000,20260912
SoilNet SSL effect (P0 - P1_noSSL),SM20 RMSE,-2.77917215407,-2.78263581821,-4.95679482231,-0.632969600812,0.0043,0.9957,10000,20260912
SoilNet SSL effect (P0 - P1_noSSL),mean RMSE,-2.50060718932,-2.50471362,-4.47109243995,-0.547378272379,0.0049,0.9951,10000,20260912
SoilNet SSL effect (P0 - P1_noSSL),SM0 MAE,-2.27666568426,-2.26885765316,-3.67052844126,-0.883906283953,0.0006,0.9994,10000,20260912
SoilNet SSL effect (P0 - P1_noSSL),SM20 MAE,-2.84459901805,-2.83541063973,-4.35319178092,-1.33062811362,0.0002,0.9998,10000,20260912
SoilNet SSL effect (P0 - P1_noSSL),mean MAE,-2.56063235115,-2.55213414645,-3.9467654596,-1.17703219497,0.0002,0.9998,10000,20260912
MobileViTv2 SSL effect (P3 - P2),SM0 RMSE,1.75500802733,1.74622275323,0.526836481264,3.06230435944,0.9986,0.0014,10000,20260912
MobileViTv2 SSL effect (P3 - P2),SM20 RMSE,1.45216501511,1.44477940236,0.275116273836,2.66104874616,0.9919,0.0081,10000,20260912
MobileViTv2 SSL effect (P3 - P2),mean RMSE,1.60358652122,1.59550107779,0.423462790044,2.8280811214,0.9973,0.0027,10000,20260912
MobileViTv2 SSL effect (P3 - P2),SM0 MAE,0.758501362223,0.759612329154,-0.0808162468348,1.60968792685,0.9629,0.0371,10000,20260912
MobileViTv2 SSL effect (P3 - P2),SM20 MAE,0.57745833401,0.578311229628,-0.270064912261,1.43508008791,0.9105,0.0895,10000,20260912
MobileViTv2 SSL effect (P3 - P2),mean MAE,0.667979848117,0.668961779391,-0.132086561864,1.47326068483,0.9488,0.0512,10000,20260912
Architecture × SSL interaction: (P3 - P2) - (P0 - P1_noSSL),SM0 RMSE,3.97705025189,3.97301417502,1.77317034901,6.24291113205,0.9997,0.0003,10000,20260912
Architecture × SSL interaction: (P3 - P2) - (P0 - P1_noSSL),SM20 RMSE,4.23133716918,4.22741522057,1.83250557283,6.76621424571,0.9997,0.0003,10000,20260912
Architecture × SSL interaction: (P3 - P2) - (P0 - P1_noSSL),mean RMSE,4.10419371054,4.10021469779,1.85465084375,6.43416300073,0.9998,0.0002,10000,20260912
Architecture × SSL interaction: (P3 - P2) - (P0 - P1_noSSL),SM0 MAE,3.03516704648,3.02846998231,1.41495132537,4.70601440749,0.9997,0.0003,10000,20260912
Architecture × SSL interaction: (P3 - P2) - (P0 - P1_noSSL),SM20 MAE,3.42205735206,3.41372186936,1.63433884756,5.24645426156,1,0,10000,20260912
Architecture × SSL interaction: (P3 - P2) - (P0 - P1_noSSL),mean MAE,3.22861219927,3.22109592584,1.59039712155,4.90897347241,0.9999,0.0001,10000,20260912
