comparison,model_a,model_b,delta_definition,interpretation,metric,point_estimate,bootstrap_mean,ci_2_5,ci_97_5,bootstrap_seed,n_bootstrap,n_paired_test_samples,ci_method
P0_vs_P1_noLI,P0,P1_noLI,metric(model_a) - metric(model_b),LI contribution,SM0_RMSE,-0.21148200070248713,-0.20249833509628784,-1.6364986117741338,1.1090473227254396,20260906,10000,231,paired_test_set_percentile
P0_vs_P1_noLI,P0,P1_noLI,metric(model_a) - metric(model_b),LI contribution,SM0_MAE,0.2285216844155844,0.22428442200800836,-0.5711255394372289,1.0237237381493498,20260906,10000,231,paired_test_set_percentile
P0_vs_P1_noLI,P0,P1_noLI,metric(model_a) - metric(model_b),LI contribution,SM20_RMSE,0.5728620807759093,0.5815040920274352,-0.7088796262074527,1.9128734789063948,20260906,10000,231,paired_test_set_percentile
P0_vs_P1_noLI,P0,P1_noLI,metric(model_a) - metric(model_b),LI contribution,SM20_MAE,0.96742288787879,0.9610384726041128,0.10522635060606168,1.8461741157142835,20260906,10000,231,paired_test_set_percentile
P0_vs_P1_noLI,P0,P1_noLI,metric(model_a) - metric(model_b),LI contribution,mean_RMSE,0.18069004003671107,0.1895028784655737,-1.105378434304401,1.4499289013001693,20260906,10000,231,paired_test_set_percentile
P0_vs_P1_noLI,P0,P1_noLI,metric(model_a) - metric(model_b),LI contribution,mean_MAE,0.5979722861471872,0.5926614473060605,-0.1641186383495693,1.3456392016558454,20260906,10000,231,paired_test_set_percentile
P0_vs_P1_noSSL,P0,P1_noSSL,metric(model_a) - metric(model_b),VICReg contribution,SM0_RMSE,-4.560560767907775,-4.559750975362185,-6.6303122186542085,-2.5451062468402186,20260906,10000,231,paired_test_set_percentile
P0_vs_P1_noSSL,P0,P1_noSSL,metric(model_a) - metric(model_b),VICReg contribution,SM0_MAE,-4.09208807056277,-4.0863621760129005,-5.542575432900434,-2.6576753696103896,20260906,10000,231,paired_test_set_percentile
P0_vs_P1_noSSL,P0,P1_noSSL,metric(model_a) - metric(model_b),VICReg contribution,SM20_RMSE,-3.597090321624174,-3.6029121002746303,-5.583066357006174,-1.647680904488994,20260906,10000,231,paired_test_set_percentile
P0_vs_P1_noSSL,P0,P1_noSSL,metric(model_a) - metric(model_b),VICReg contribution,SM20_MAE,-3.1853655774891756,-3.1881826540564937,-4.613749116396104,-1.7446934306060597,20260906,10000,231,paired_test_set_percentile
